timestamp,ALT,AZ,CAS,overall
1765905569.0,IN POSN,IN POSN,STOPPED,BUSY
1765905569.0,IN POSN,IN POSN,STOPPED,BUSY
1765905568.0,IN POSN,IN POSN,STOPPED,BUSY
1765905568.0,IN POSN,IN POSN,STOPPED,BUSY
1765905568.0,IN POSN,IN POSN,STOPPED,BUSY
1765905568.0,IN POSN,IN POSN,STOPPED,BUSY
1765905568.0,IN POSN,IN POSN,STOPPED,BUSY
1765905567.0,IN POSN,IN POSN,STOPPED,BUSY
1765905567.0,IN POSN,IN POSN,STOPPED,BUSY
1765905567.0,IN POSN,IN POSN,STOPPED,BUSY
1765905567.0,IN POSN,IN POSN,STOPPED,BUSY
1765905567.0,IN POSN,IN POSN,STOPPED,BUSY
1765905566.0,IN POSN,IN POSN,STOPPED,BUSY
1765905566.0,IN POSN,IN POSN,STOPPED,BUSY
1765905566.0,IN POSN,IN POSN,STOPPED,BUSY
1765905566.0,IN POSN,IN POSN,STOPPED,BUSY
1765905566.0,IN POSN,IN POSN,STOPPED,BUSY
1765905565.0,IN POSN,IN POSN,STOPPED,BUSY
1765905565.0,IN POSN,IN POSN,STOPPED,BUSY
1765905565.0,IN POSN,IN POSN,STOPPED,BUSY
1765905565.0,IN POSN,IN POSN,STOPPED,BUSY
1765905565.0,IN POSN,IN POSN,STOPPED,BUSY
1765905565.0,IN POSN,IN POSN,STOPPED,BUSY
1765905564.0,IN POSN,IN POSN,STOPPED,BUSY
1765905564.0,IN POSN,IN POSN,STOPPED,BUSY
1765905564.0,IN POSN,IN POSN,STOPPED,BUSY
1765905564.0,IN POSN,IN POSN,STOPPED,BUSY
1765905564.0,IN POSN,IN POSN,STOPPED,BUSY
1765905563.0,IN POSN,IN POSN,STOPPED,BUSY
1765905563.0,IN POSN,IN POSN,STOPPED,BUSY
1765905563.0,IN POSN,IN POSN,STOPPED,BUSY
1765905563.0,IN POSN,IN POSN,STOPPED,BUSY
1765905563.0,IN POSN,IN POSN,STOPPED,BUSY
1765905562.0,IN POSN,IN POSN,STOPPED,BUSY
1765905562.0,IN POSN,IN POSN,STOPPED,BUSY
1765905562.0,IN POSN,IN POSN,STOPPED,BUSY
1765905562.0,IN POSN,IN POSN,STOPPED,BUSY
1765905562.0,IN POSN,IN POSN,STOPPED,BUSY
1765905561.0,IN POSN,IN POSN,STOPPED,BUSY
1765905561.0,IN POSN,IN POSN,STOPPED,BUSY
1765905561.0,IN POSN,IN POSN,STOPPED,BUSY
1765905561.0,IN POSN,IN POSN,STOPPED,BUSY
1765905561.0,IN POSN,IN POSN,STOPPED,BUSY
1765905560.0,IN POSN,IN POSN,STOPPED,BUSY
1765905560.0,IN POSN,IN POSN,STOPPED,BUSY
1765905560.0,IN POSN,IN POSN,STOPPED,BUSY
1765905560.0,IN POSN,IN POSN,STOPPED,BUSY
1765905560.0,IN POSN,IN POSN,STOPPED,BUSY
1765905560.0,IN POSN,IN POSN,STOPPED,BUSY
1765905559.0,IN POSN,IN POSN,STOPPED,BUSY
1765905559.0,IN POSN,IN POSN,STOPPED,BUSY
1765905559.0,IN POSN,IN POSN,STOPPED,BUSY
1765905559.0,IN POSN,IN POSN,STOPPED,BUSY
1765905559.0,IN POSN,IN POSN,STOPPED,BUSY
1765905558.0,IN POSN,IN POSN,STOPPED,BUSY
1765905558.0,IN POSN,IN POSN,STOPPED,BUSY
1765905558.0,IN POSN,IN POSN,STOPPED,BUSY
1765905558.0,IN POSN,IN POSN,STOPPED,BUSY
